C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:22:38

 IdentList
----------

 # 	typed ident	            identifier             	         typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	 Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	----------------------	---------------------------------------	---------	---------	---------	---------	--------	---------------	----	----
70 	hip 17881  	V* SS Cep                          	LongPeriodV*          	03 49 30.0153276840 +80 19 20.902460520	     ~   	8.37     	7.16     	     ~   	     ~  	M5III          	  57	   0
71 	hip 2546   	V* TU And                          	Mira                  	00 32 22.7282685288 +26 01 45.921110808	     ~   	11.18    	10.22    	7.80     	     ~  	M6e            	  74	   0
72 	hip 53564  	V* FG Dra                          	LongPeriodV*          	10 57 27.5813253480 +74 20 10.840214652	     ~   	9.19     	8.03     	     ~   	     ~  	M6             	  15	   0
73 	hip 67359  	V* RT Cen                          	Mira                  	13 48 20.9478708024 -36 51 45.243283140	     ~   	11.47    	8.10     	8.30     	     ~  	M6II:e         	  46	   0
74 	hip 34310  	V* AC Car                          	LongPeriodV*          	07 06 47.9673970896 -58 22 51.485186964	     ~   	10.05    	9.10     	     ~   	     ~  	M6+III:        	  26	   0
75 	hip 53078  	V* BB Ant                          	LongPeriodV*          	10 51 33.0552753432 -34 32 15.855467280	     ~   	9.66     	8.31     	     ~   	     ~  	M6III          	  20	   0
76 	hip 112057 	V* BC Peg                          	LongPeriodV*          	22 41 48.3673007112 +21 10 12.555183828	     ~   	11.14    	9.85     	     ~   	     ~  	M0             	  28	   0
77 	hip 107516 	V* EP Aqr                          	AGB*                  	21 46 31.8494911920 -02 12 45.928582560	     ~   	7.93     	6.78     	     ~   	     ~  	M7-III:        	 236	   0
78 	hip 12261  	L 174-28                           	HighPM*               	02 37 52.7884468536 -58 45 11.063919312	15.187   	14.025   	12.459   	11.286   	9.805   	M3V            	  27	   0
79 	hip 76573  	V* LY Ser                          	LongPeriodV*_Candidate	15 38 16.6278054288 +24 31 18.714982836	     ~   	8.12     	6.89     	     ~   	     ~  	MIII           	  30	   0
80 	hip 11455  	V* CL Hyi                          	LongPeriodV*          	02 27 46.8387616416 -69 31 26.338318464	     ~   	8.50     	7.28     	     ~   	     ~  	M6/7           	  24	   0
81 	hip 56012  	V* HP UMa                          	LongPeriodV*          	11 28 45.0646310232 +49 33 32.454854640	     ~   	10.84    	9.66     	     ~   	     ~  	M6             	  15	   0
82 	hip 77691  	V* KZ Lup                          	LongPeriodV*          	15 51 41.1811141512 -38 09 29.324144340	     ~   	10.51    	9.10     	     ~   	     ~  	M5III          	  20	   0
83 	hip 89858  	V* BR Oct                          	AGB*_Candidate        	18 20 16.3481766648 -77 40 18.910489008	     ~   	10.33    	8.98     	     ~   	     ~  	M4/6           	  23	   0
84 	hip 8682   	V* V368 And                        	LongPeriodV*          	01 51 43.2153886176 +39 08 26.301679944	     ~   	11.37    	9.89     	     ~   	     ~  	M8             	  12	   0
85 	hip 37459  	V* U CMi                           	Mira                  	07 41 20.0306710320 +08 22 49.111425372	     ~   	11.51    	8.00     	     ~   	     ~  	M4e            	  65	   0
86 	hip 84004  	V* V939 Her                        	LongPeriodV*          	17 10 18.5262421728 +40 41 23.799026580	     ~   	9.25     	7.97     	     ~   	     ~  	~              	  22	   0
87 	hip 9767   	V* Y Eri                           	Mira                  	02 05 34.1900319120 -57 08 38.965531236	     ~   	12.22    	10.68    	8.80     	     ~  	Me             	  33	   0
88 	hip 44050  	V* RT Cnc                          	LongPeriodV*          	08 58 15.9993994296 +10 50 42.676559520	10.04    	8.97     	7.52     	     ~   	     ~  	M5III          	  57	   1
89 	hip 87604  	V* BB Dra                          	LongPeriodV*          	17 53 44.9559609384 +57 03 21.427005276	     ~   	11.43    	10.17    	     ~   	     ~  	M8             	  17	   0
90 	hip 41028  	V* Z Cnc                           	LongPeriodV*          	08 22 25.2910564920 +14 59 31.899972372	     ~   	9.83     	8.55     	     ~   	     ~  	M6III          	  64	   0
91 	hip 85503  	V* V657 Her                        	LongPeriodV*_Candidate	17 28 24.3178431480 +15 51 50.461595640	     ~   	10.75    	9.46     	     ~   	     ~  	M7             	  16	   0
92 	hip 89669  	V* IQ Her                          	LongPeriodV*          	18 17 54.8439222408 +17 58 52.728716928	9.790    	8.520    	6.910    	     ~   	     ~  	M3             	  40	   0
93 	hip 17379  	V* V1127 Tau                       	LongPeriodV*          	03 43 18.1028429712 +12 47 38.193095904	     ~   	10.73    	9.21     	     ~   	     ~  	M8             	  22	   0
94 	hip 102720 	V* FI Vul                          	LongPeriodV*          	20 48 51.1881931656 +22 59 38.957906976	     ~   	8.94     	7.67     	     ~   	     ~  	M3             	  27	   0
95 	hip 101162 	V* TZ Aql                          	LongPeriodV*          	20 30 18.4683740184 -04 45 16.658885304	     ~   	10.06    	8.70     	     ~   	     ~  	M6III          	  33	   0
96 	hip 26754  	V* AB Tau                          	Mira                  	05 41 02.4697495344 +28 06 22.943745756	     ~   	11.86    	10.02    	9.74     	     ~  	M3             	  45	   0
97 	hip 25672  	V* AD Aur                          	LongPeriodV*          	05 28 59.9419448016 +39 02 54.204323676	     ~   	11.70    	10.14    	7.96     	     ~  	M6             	  25	   0
98 	hip 82249  	V* AH Dra                          	LongPeriodV*          	16 48 16.6345015488 +57 48 49.347717084	     ~   	8.91     	7.69     	     ~   	     ~  	M5             	  51	   0
99 	hip 42502  	V* AK Hya                          	LongPeriodV*          	08 39 53.5421610192 -17 18 10.730602800	     ~   	8.00     	6.67     	     ~   	     ~  	M6III          	  75	   0
100	hip 28151  	V* V442 Aur                        	LongPeriodV*_Candidate	05 56 54.8212257288 +35 34 44.084650296	10.280   	9.180    	7.690    	     ~   	     ~  	M6             	  14	   0
101	hip 18165  	V* BL Tau                          	LongPeriodV*_Candidate	03 53 01.6313932464 +20 12 28.875690036	     ~   	10.48    	9.08     	     ~   	     ~  	M8             	  20	   0
