C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
69 	hip 49869  	BD+19 2310                         	Double or Multiple Star	10 10 58.53230 +18 33 58.5593          	     ~   	10.45    	9.77     	9.59     	     ~   	G8V            	  19	   0
70 	hip 4121   	HD 5005                            	Double or Multiple Star	00 52 49.21342 +56 37 39.5227          	7.02     	     ~   	     ~   	     ~   	     ~   	~              	 144	   0
71 	hip 112349 	CD-26 16308                        	Carbon Star            	22 45 22.5776256360 -25 22 40.678973868	     ~   	12.63    	10.60    	     ~   	     ~   	C              	  12	   0
72 	hip 54795  	HD 97547                           	Double or Multiple Star	11 13 05.1160711 -47 03 18.718977      	     ~   	     ~   	     ~   	     ~   	     ~   	F8/G0IV        	  28	   0
73 	hip 45284  	HD 78696                           	Double or Multiple Star	09 13 45.20975 +69 58 47.2461          	     ~   	9.281    	8.924    	8.949    	     ~   	G5             	  29	   0
74 	hip 27911  	HD 39588                           	Double or Multiple Star	05 54 22.38833 +18 54 01.3681          	     ~   	     ~   	     ~   	     ~   	     ~   	A0             	  16	   0
75 	hip 114039 	HD 218007                          	Double or Multiple Star	23 05 39.54547 -60 04 47.5978          	     ~   	9.18     	8.58     	     ~   	     ~   	F8V            	   8	   0
76 	hip 32574  	HD 49777                           	Double or Multiple Star	06 47 48.94261 -46 19 32.3840          	     ~   	10.215   	9.682    	9.738    	     ~   	G5V            	  12	   0
77 	hip 64560  	CD-50 7595                         	Double or Multiple Star	13 14 00.31327 -51 01 59.4505          	     ~   	10.404   	10.015   	10.006   	     ~   	F5             	   7	   0
78 	hip 108797 	* 29 Aqr                           	Eclipsing Binary       	22 02 26.2490626 -16 57 53.407718      	     ~   	     ~   	     ~   	     ~   	     ~   	A2V+G0II       	  79	   0
79 	hip 1041   	NGC 40                             	Planetary Nebula       	00 13 01.0170097248 +72 31 19.033338720	     ~   	11.63    	11.46    	     ~   	     ~   	[WC8]          	 611	   2
80 	hip 95313  	HD 181842                          	Double or Multiple Star	19 23 29.6793553 -34 31 36.752247      	     ~   	     ~   	     ~   	     ~   	     ~   	K2V+(G)        	  23	   0
81 	hip 40482  	HD 68721A                          	Star                   	08 15 58.2658370122 +49 46 19.482008202	     ~   	9.71     	9.09     	9.200    	     ~   	G0             	  13	   0
82 	hip 5604   	HD 7072                            	Double or Multiple Star	01 11 52.33640 +47 47 53.7992          	     ~   	     ~   	     ~   	8.902    	     ~   	A2             	  17	   0
83 	hip 88284  	HD 164941                          	Double or Multiple Star	18 01 41.16590 +40 10 41.9268          	     ~   	     ~   	     ~   	     ~   	     ~   	A3             	  27	   0
84 	hip 51416  	HD 91099                           	Double or Multiple Star	10 30 05.06069 -47 21 15.3204          	     ~   	     ~   	     ~   	     ~   	     ~   	A1V            	  14	   0
85 	hip 43680  	CD-41 4616B                        	Star                   	08 53 55.2514731168 -41 49 38.694300096	     ~   	10.02    	10.00    	     ~   	     ~   	~              	  10	   0
86 	hip 49020  	BD+02 2274                         	Star                   	10 00 03.6504874 +01 50 45.388087      	     ~   	11.103   	10.366   	10.364   	     ~   	G8             	  18	   0
87 	hip 87823  	HD 163640                          	Double or Multiple Star	17 56 24.41097 +18 19 37.2045          	     ~   	     ~   	     ~   	     ~   	     ~   	A0III          	  49	   0
88 	hip 98216  	HD 189068                          	Double or Multiple Star	19 57 32.27980 +20 17 40.1158          	     ~   	     ~   	     ~   	     ~   	     ~   	B9             	  13	   0
89 	hip 9512   	HD 12632                           	Double or Multiple Star	02 02 21.94019 -50 44 22.6039          	     ~   	10.58    	9.98     	9.94     	     ~   	K0/1V          	  14	   0
90 	hip 17757  	HD 23826                           	Double or Multiple Star	03 48 04.4320267 -00 33 42.379277      	     ~   	9.920    	9.452    	9.714    	     ~   	F3V            	  13	   0
91 	hip 68081  	HD 121605                          	Double or Multiple Star	13 56 20.48229 +05 17 22.9314          	     ~   	9.42     	8.91     	8.68     	     ~   	F5             	  32	   0
92 	hip 41457  	BD+38 1909                         	Double or Multiple Star	08 27 19.64034 +38 01 33.0101          	     ~   	10.111   	9.697    	9.630    	     ~   	F5             	   6	   0
