C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.27CEST09:59:15

 IdentList
----------

 # 	typed ident	            identifier             	             typ              	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	   spec. type    	#bib	#not
---	-----------	-----------------------------------	------------------------------	---------------------------------------	---------	---------	---------	---------	---------	-----------------	----	----
107	hip 114396 	HD 218679                          	Star                          	23 10 05.7391229136 -17 26 49.815115673	     ~   	10.48    	9.15     	     ~   	     ~   	K2III            	   6	   0
108	hip 116148 	HIP 116148                         	Star                          	23 31 59.2142075328 +53 22 26.166670896	     ~   	9.61     	9.52     	     ~   	     ~   	B8               	   7	   0
109	hip 116209 	HD 221501                          	Star                          	23 32 46.7748663408 -00 50 33.798581772	     ~   	9.66     	9.09     	     ~   	     ~   	F6IV/V           	   8	   0
110	hip 11559  	BD+20 403                          	Star                          	02 28 54.9275184432 +21 11 22.692327576	     ~   	9.65     	9.18     	     ~   	     ~   	F2               	  13	   0
111	hip 12547  	BD+61 456                          	Star                          	02 41 26.8781576712 +61 43 11.188373844	     ~   	10.07    	9.74     	     ~   	     ~   	B9V              	  19	   0
112	hip 20353  	HD 237249                          	Pulsating Variable            	04 21 33.1075135344 +57 44 42.427813560	     ~   	9.22     	8.79     	     ~   	     ~   	A5               	  14	   0
113	hip 23275  	HD 32312                           	Star                          	05 00 26.2751558280 -40 05 33.500489100	     ~   	10.10    	9.06     	     ~   	     ~   	G8III            	  10	   0
114	hip 26331  	HD 245519                          	Star                          	05 36 29.3571830784 +03 18 29.701092456	     ~   	9.81     	9.57     	     ~   	     ~   	A0               	  12	   0
115	hip 29473  	HD 42886                           	Star                          	06 12 36.2710979304 -16 03 30.077594244	     ~   	8.68     	8.54     	     ~   	     ~   	A2IV/V           	  10	   0
116	hip 31561  	HD 260222                          	Star                          	06 36 22.1107923264 +27 56 03.594384672	     ~   	     ~   	9.6      	     ~   	     ~   	F2V              	   9	   0
117	hip 37302  	HD 61671                           	Star                          	07 39 29.2954779960 -24 13 47.444412756	     ~   	9.21     	8.10     	     ~   	     ~   	K1III            	   9	   0
118	hip 39003  	HD 65587                           	Star                          	07 58 54.9170314296 -17 03 25.927930296	     ~   	9.24     	7.66     	     ~   	     ~   	K4III            	  11	   0
119	hip 44946  	* ksi Cnc                          	Spectroscopic Binary          	09 09 21.5411482824 +22 02 43.578120660	     ~   	6.123    	5.149    	     ~   	     ~   	G8.5IIIFe-0.5CH-1	  93	   0
120	hip 47297  	HD 83115                           	Star                          	09 38 20.4729427944 +57 25 28.934583744	     ~   	9.95     	8.95     	     ~   	     ~   	K0               	   9	   0
121	hip 56236  	HIP 56236                          	Star                          	11 31 40.9211394864 -49 25 55.147850292	     ~   	11.18    	10.60    	     ~   	     ~   	~                	   7	   0
122	hip 62880  	HD 111930                          	Star                          	12 53 13.2997925472 -39 23 24.799859160	     ~   	8.39     	6.85     	     ~   	     ~   	K3III            	  10	   1
123	hip 85387  	HD 157865                          	Star                          	17 26 50.7705839064 -26 19 54.369335964	     ~   	7.72     	7.45     	     ~   	     ~   	B8/9III          	  19	   1
124	hip 86622  	HD 161318                          	Star                          	17 41 58.3895227992 +53 26 44.928261672	9.400    	9.280    	9.170    	     ~   	     ~   	A2               	   9	   0
